Model,Feature,Importance,Coefficient
XGBoost,Oil_Price,0.004122321959584951,
XGBoost,SP500_Index,0.0003910519590135664,
XGBoost,Coffee_Price,0.0016202654223889112,
XGBoost,Exchange_Rate_Lag30,0.000936829368583858,
XGBoost,Exchange_Rate_Lag85,0.0016388026997447014,
XGBoost,Interest Rate,0.03591938316822052,
XGBoost,IPC,0.0002151306252926588,
XGBoost,PIB,0.0033606518991291523,
XGBoost,Time_Index,0.9517955780029297,
Random Forest,Time_Index,0.894041384089575,
Random Forest,Interest Rate,0.05388917234749403,
Random Forest,PIB,0.020793904983377468,
Random Forest,Oil_Price,0.012237517915709368,
Random Forest,Exchange_Rate_Lag85,0.006261953997250856,
Random Forest,Coffee_Price,0.005685939285157911,
Random Forest,SP500_Index,0.0032481266620575083,
Random Forest,Exchange_Rate_Lag30,0.0021841836812098777,
Random Forest,IPC,0.001657817038168038,
Linear Regression,Oil_Price,-9.104466619644763,
Linear Regression,SP500_Index,-0.013543925519675447,
Linear Regression,Coffee_Price,0.8451428979228878,
Linear Regression,Exchange_Rate_Lag30,0.0869336685354998,
Linear Regression,Exchange_Rate_Lag85,0.4010594997389394,
Linear Regression,Interest Rate,297.8763719624586,
Linear Regression,IPC,97.80348432936121,
Linear Regression,PIB,-0.0025226106946262365,
Linear Regression,Time_Index,16.26699691305359,
SARIMAX,Interest Rate,0.355189599975351,-469.8335243136942
SARIMAX,SP500_Index,0.3258201200788937,-430.98450889215513
SARIMAX,IPC,0.09007009837032307,119.14186607813613
SARIMAX,PIB,0.08175261701789845,108.13976585477857
SARIMAX,Oil_Price,0.07289887225844695,-96.42831342487726
SARIMAX,Exchange_Rate_Lag85,0.025862349836314066,34.20989514184078
SARIMAX,Coffee_Price,0.02421769666215307,-32.0344001466512
SARIMAX,Exchange_Rate_Lag30,0.02418864580061975,-31.995972589483156
